No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;25444;619;617;
0;25753;625;612;
0;26091;628;613;
0;25724;634;594;
0;26536;629;609;
0;26101;618;597;
0;25343;641;615;
0;23732;632;591;
0;25359;618;606;
0;24550;622;596;
0;25426;611;599;
0;24593;611;591;
0;25502;616;608;
0;25704;610;614;
0;25862;608;609;
0;24707;620;595;
0;26157;620;597;
0;25541;622;641;
0;25392;613;604;
0;24298;615;604;
0;25498;630;607;
0;25164;616;600;
0;25355;613;612;
0;24576;625;590;
0;25277;615;595;
0;25894;621;601;
0;25200;626;593;
0;25405;624;602;
0;25398;621;589;
0;24967;622;600;
0;25347;622;609;
0;25750;615;604;
0;25373;640;614;
0;25088;620;599;
0;25327;622;598;
0;25737;644;636;
0;25461;631;606;
0;26179;613;604;
0;25407;618;674;
0;25885;609;603;
0;24988;611;614;
0;24292;621;619;
0;25155;609;611;
0;25501;615;618;
0;25303;620;614;
0;24783;640;599;
0;24725;610;612;
0;25938;622;588;
0;26424;611;596;
0;25223;616;600;
0;25613;612;591;
0;25760;622;614;
0;24167;614;608;
0;25425;631;592;
0;24961;616;603;
0;25358;614;599;
0;25604;626;612;
0;25955;609;602;
0;25393;620;603;
0;25813;613;619;
0;25136;621;615;
0;24376;621;588;
0;24516;615;592;
0;25802;619;605;
0;25110;626;592;
0;25854;620;637;
0;24437;633;614;
0;25340;613;600;
0;25924;630;623;
0;25258;613;591;
0;25954;623;600;
0;25152;631;618;
0;25836;613;594;
0;24182;631;608;
0;25464;624;604;
0;25270;609;609;
0;24383;643;604;
0;25566;622;600;
0;24697;615;595;
0;25415;615;604;
0;25432;630;612;
0;25341;662;616;
0;25270;623;608;
0;24019;633;607;
0;25292;612;606;
0;25267;626;602;
0;24261;631;596;
0;25119;623;605;
0;24578;623;616;
0;24991;622;594;
0;25544;619;636;
0;25418;627;623;
0;24565;628;613;
0;25656;625;611;
0;24659;636;607;
0;25296;638;604;
0;25302;631;596;
0;25045;637;611;
0;25292;644;612;
0;25427;656;603;
