No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;2739;89;87;
0;3678;90;87;
0;3748;90;85;
0;3741;89;89;
0;3504;91;87;
0;2380;90;86;
0;2634;91;86;
0;3660;89;88;
0;3674;91;85;
0;3719;89;88;
0;2436;89;87;
0;3703;90;88;
0;3757;92;87;
0;3692;94;86;
0;2586;90;89;
0;3700;90;86;
0;3705;89;86;
0;3696;91;87;
0;3504;87;85;
0;3716;91;88;
0;2248;92;87;
0;3723;88;87;
0;3769;89;86;
0;2714;91;88;
0;3661;89;89;
0;3736;92;90;
0;2663;89;91;
0;3723;90;90;
0;3638;90;88;
0;3661;88;89;
0;2628;90;89;
0;3621;90;86;
0;3676;90;87;
0;2759;90;89;
0;3648;90;86;
0;2953;89;86;
0;3629;88;86;
0;3717;89;87;
0;3737;89;86;
0;3709;89;86;
0;2271;89;87;
0;3713;88;89;
0;3768;90;86;
0;3645;90;87;
0;3451;89;88;
0;3242;89;87;
0;3675;92;90;
0;3704;89;88;
0;3100;91;87;
0;3728;90;87;
0;3464;90;88;
0;3676;90;89;
0;3728;90;90;
0;2537;90;87;
0;3753;89;87;
0;3262;89;85;
0;3242;101;87;
0;3675;91;86;
0;3651;90;90;
0;3786;91;88;
0;3731;88;86;
0;3437;88;88;
0;3653;89;91;
0;3686;89;86;
0;3676;90;90;
0;3739;88;87;
0;2745;89;88;
0;3667;89;86;
0;3266;90;86;
0;3695;90;85;
0;3746;89;88;
0;3417;89;87;
0;3679;90;87;
0;3183;88;87;
0;3030;89;86;
0;3600;89;86;
0;2611;96;88;
0;3612;88;85;
0;3237;88;88;
0;3665;89;88;
0;2988;89;88;
0;3704;90;86;
0;3666;91;86;
0;3725;91;86;
0;3675;90;87;
0;3491;89;86;
0;2725;88;92;
0;3664;91;86;
0;3705;89;88;
0;3167;90;85;
0;3162;89;86;
0;3685;89;88;
0;2383;89;88;
0;2811;88;89;
0;3753;90;86;
0;3547;91;88;
0;3743;93;87;
0;3700;89;87;
0;3690;98;87;
0;3720;90;89;
