No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;1431;34;38;
0;1003;34;38;
0;854;36;33;
0;1385;34;39;
0;1393;34;33;
0;1421;33;38;
0;1412;33;38;
0;982;34;33;
0;1325;34;33;
0;1446;34;36;
0;1415;34;33;
0;863;34;34;
0;1411;35;33;
0;1001;34;38;
0;1236;34;33;
0;873;34;37;
0;1475;34;34;
0;1274;34;34;
0;1392;34;33;
0;1093;34;39;
0;1404;34;38;
0;1006;34;34;
0;1403;34;33;
0;1395;34;35;
0;887;34;34;
0;991;34;38;
0;1003;34;34;
0;857;35;34;
0;1164;34;33;
0;1413;34;34;
0;1411;34;34;
0;1190;34;35;
0;1408;34;34;
0;1291;35;33;
0;1347;34;34;
0;1206;34;38;
0;1007;34;38;
0;1411;35;33;
0;1760;34;34;
0;1457;35;34;
0;1405;34;39;
0;1406;34;33;
0;1007;36;34;
0;1218;35;34;
0;1306;34;33;
0;1415;34;34;
0;1199;34;34;
0;1209;34;38;
0;1310;34;34;
0;1755;34;35;
0;860;35;33;
0;1378;33;34;
0;990;34;33;
0;1428;34;34;
0;868;35;34;
0;1075;35;38;
0;999;34;33;
0;1430;34;38;
0;1131;34;33;
0;990;34;39;
0;870;34;34;
0;1207;34;34;
0;914;35;34;
0;1421;34;38;
0;1415;34;39;
0;999;34;34;
0;992;34;35;
0;1398;34;33;
0;1254;34;33;
0;982;35;33;
0;1402;34;33;
0;1408;34;33;
0;867;34;35;
0;1281;35;38;
0;950;34;34;
0;1411;35;34;
0;1404;34;35;
0;1408;35;38;
0;994;35;38;
0;1010;35;39;
0;1389;34;37;
0;1384;34;39;
0;983;34;34;
0;1407;34;39;
0;1288;33;37;
0;1401;34;33;
0;1163;35;38;
0;1424;34;33;
0;1370;34;34;
0;1400;34;34;
0;864;34;36;
0;1278;34;34;
0;1411;34;34;
0;1400;35;38;
0;1401;34;38;
0;1395;34;38;
0;981;33;33;
0;985;34;34;
0;993;35;34;
0;1419;34;33;
