No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;5973;150;144;
0;6071;147;148;
0;5933;149;142;
0;6045;145;145;
0;6087;146;142;
0;5757;143;143;
0;5942;147;141;
0;5945;147;138;
0;5938;153;139;
0;5989;150;141;
0;5124;143;142;
0;5972;146;142;
0;6170;144;139;
0;5994;143;141;
0;6051;144;148;
0;5958;145;144;
0;6006;148;143;
0;5975;146;142;
0;5897;147;141;
0;5981;145;144;
0;5974;144;139;
0;5975;146;143;
0;4752;144;140;
0;5914;145;147;
0;6148;147;141;
0;5902;147;140;
0;6009;145;140;
0;6000;144;144;
0;5942;146;145;
0;4983;147;139;
0;5972;148;139;
0;5959;142;144;
0;5942;144;159;
0;6050;146;140;
0;5923;146;140;
0;6040;149;139;
0;6005;146;142;
0;5672;146;144;
0;5393;146;144;
0;6047;148;138;
0;5900;147;143;
0;6059;144;139;
0;5923;145;140;
0;6032;146;141;
0;5048;145;143;
0;6019;144;139;
0;4783;145;140;
0;5980;147;139;
0;6066;142;146;
0;5580;146;144;
0;6087;147;140;
0;6204;146;143;
0;6005;143;141;
0;5981;147;145;
0;5939;143;163;
0;6163;146;138;
0;5817;163;140;
0;5962;147;146;
0;5990;149;139;
0;6013;147;142;
0;6241;142;138;
0;5421;146;141;
0;5976;148;146;
0;6131;144;145;
0;5663;147;141;
0;5956;166;139;
0;4260;147;139;
0;5899;147;142;
0;6073;144;140;
0;6054;146;146;
0;4872;147;144;
0;5964;144;143;
0;6026;145;141;
0;6009;143;140;
0;5864;146;142;
0;5994;150;142;
0;5944;146;141;
0;4574;158;139;
0;5962;145;141;
0;5759;146;144;
0;5826;145;141;
0;5988;143;144;
0;6076;143;142;
0;5972;147;142;
0;5566;147;140;
0;5568;152;147;
0;5862;145;146;
0;4859;142;141;
0;6102;145;140;
0;6074;144;139;
0;5959;145;142;
0;6106;142;138;
0;5951;142;141;
0;6068;146;144;
0;6035;146;144;
0;5477;147;142;
0;5979;145;146;
0;5949;153;144;
0;5995;143;144;
0;5572;165;146;
