No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;9687;235;229;
0;9733;232;234;
0;9506;239;229;
0;9574;255;229;
0;9195;237;226;
0;9623;238;227;
0;9373;240;225;
0;9804;248;233;
0;9600;236;236;
0;9572;242;235;
0;9423;233;231;
0;9508;237;229;
0;9615;239;237;
0;9638;245;229;
0;9054;234;233;
0;8814;238;228;
0;9653;234;226;
0;9789;237;228;
0;9281;240;233;
0;9714;239;229;
0;9731;236;234;
0;8982;243;235;
0;9686;236;225;
0;9809;231;224;
0;9621;237;238;
0;9703;236;227;
0;9682;235;227;
0;9764;236;238;
0;9621;235;228;
0;9582;236;232;
0;8975;236;231;
0;9050;239;227;
0;9871;234;231;
0;9572;246;227;
0;9803;239;235;
0;9651;237;227;
0;9705;236;231;
0;9883;244;226;
0;9811;235;228;
0;9729;237;234;
0;9711;244;238;
0;9859;239;226;
0;9711;241;228;
0;9570;239;229;
0;9695;239;229;
0;8376;237;232;
0;9271;234;227;
0;9705;237;224;
0;9812;237;225;
0;9679;237;233;
0;8870;237;223;
0;9566;242;236;
0;9785;237;234;
0;9016;232;228;
0;9226;237;230;
0;9543;234;236;
0;9793;246;229;
0;9549;242;233;
0;9598;240;225;
0;9672;245;230;
0;9563;238;230;
0;9724;242;229;
0;9759;243;237;
0;9896;240;239;
0;9152;236;237;
0;8328;236;227;
0;9329;234;225;
0;9638;236;227;
0;9771;240;231;
0;9229;237;233;
0;9686;240;231;
0;9454;243;234;
0;9628;238;230;
0;9726;235;236;
0;9672;235;231;
0;9712;233;226;
0;9325;240;231;
0;9769;241;228;
0;9900;233;234;
0;9743;238;230;
0;9691;256;230;
0;9701;241;228;
0;9656;232;227;
0;9938;236;229;
0;9572;233;227;
0;8786;230;233;
0;9650;234;237;
0;9056;243;233;
0;8632;239;230;
0;9786;239;231;
0;9653;234;225;
0;9799;233;237;
0;8864;235;231;
0;9911;237;227;
0;9703;243;230;
0;9644;247;269;
0;9748;239;230;
0;9624;241;225;
0;9882;237;236;
0;9752;240;235;
