No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;2236;54;53;
0;1611;54;53;
0;2226;56;55;
0;2258;56;54;
0;1831;55;55;
0;2270;61;56;
0;2276;55;55;
0;1408;55;55;
0;2288;55;54;
0;1641;56;54;
0;2324;56;55;
0;1982;55;56;
0;2183;56;54;
0;1709;55;53;
0;2262;55;56;
0;1571;55;55;
0;2296;56;53;
0;2259;55;56;
0;2037;55;53;
0;1609;57;53;
0;1440;56;55;
0;2270;55;54;
0;2288;55;56;
0;2275;54;55;
0;1596;55;54;
0;2273;57;54;
0;2258;56;55;
0;2276;55;55;
0;1796;55;54;
0;2273;56;54;
0;2060;56;54;
0;2346;56;54;
0;2261;56;54;
0;2265;55;53;
0;2271;57;55;
0;2225;56;55;
0;2260;55;54;
0;1603;55;56;
0;2292;56;57;
0;1406;54;55;
0;1617;56;55;
0;2268;55;53;
0;2324;55;56;
0;1943;56;54;
0;2297;55;54;
0;2049;55;54;
0;1617;55;52;
0;2240;54;53;
0;1646;56;53;
0;1832;57;53;
0;1395;55;56;
0;1602;55;54;
0;2278;55;54;
0;2201;54;53;
0;2077;54;54;
0;2227;55;53;
0;2090;55;53;
0;2110;55;53;
0;2313;57;54;
0;2322;55;53;
0;2249;56;54;
0;2271;54;53;
0;1922;55;54;
0;2266;55;54;
0;2258;56;55;
0;1596;54;54;
0;2265;55;52;
0;1622;53;54;
0;2302;55;53;
0;2189;56;53;
0;1632;55;54;
0;1631;56;53;
0;1616;56;54;
0;1624;55;54;
0;2326;57;54;
0;2269;55;54;
0;1973;54;54;
0;1835;55;53;
0;1682;55;53;
0;1565;54;53;
0;1447;56;54;
0;2281;54;54;
0;2262;55;58;
0;1996;56;55;
0;2124;55;54;
0;1631;56;53;
0;1774;55;54;
0;2300;55;53;
0;2166;56;55;
0;2159;55;55;
0;2291;54;53;
0;1912;55;53;
0;2191;55;54;
0;2307;67;53;
0;1611;56;54;
0;2263;54;54;
0;1641;56;54;
0;2237;56;55;
0;2375;57;54;
0;2261;55;57;
