No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;40847;1019;976;
0;40234;1012;972;
0;41377;1000;956;
0;41798;1027;1008;
0;40878;1026;993;
0;41679;992;981;
0;41573;1010;949;
0;40673;1020;1019;
0;41344;992;947;
0;41316;988;974;
0;41416;993;987;
0;42379;1024;986;
0;41829;1008;962;
0;41063;1021;983;
0;41918;1012;993;
0;41287;1008;973;
0;41655;1018;982;
0;41542;1029;995;
0;41263;997;967;
0;40296;998;994;
0;41426;998;969;
0;41691;993;972;
0;40970;984;1006;
0;41629;1009;983;
0;41592;1014;994;
0;41268;1018;978;
0;40630;994;967;
0;41231;1013;983;
0;41419;1003;980;
0;40457;1015;986;
0;42057;1011;952;
0;40979;1110;981;
0;41107;1016;973;
0;41277;1000;962;
0;39831;1019;959;
0;42321;1028;982;
0;40556;1029;993;
0;41006;986;993;
0;41578;1014;996;
0;41402;1015;962;
0;41142;1032;1016;
0;40860;1002;964;
0;39699;991;974;
0;40318;1013;974;
0;40340;989;967;
0;41898;984;959;
0;41087;1011;955;
0;40581;1045;972;
0;41085;1016;963;
0;40713;1033;979;
0;40238;1003;1010;
0;40619;990;1009;
0;41219;989;986;
0;40969;1005;973;
0;39684;991;968;
0;41279;1004;978;
0;41107;986;1046;
0;41005;1022;981;
0;41857;1025;976;
0;40827;1003;981;
0;41844;1007;987;
0;40050;1085;975;
0;41308;995;979;
0;41282;1015;982;
0;41276;1033;1086;
0;41031;1013;969;
0;41808;977;980;
0;43234;1033;955;
0;41358;1012;966;
0;41383;990;952;
0;40026;1009;970;
0;40643;1005;1014;
0;41552;984;990;
0;40790;1000;994;
0;41916;1026;988;
0;40650;978;994;
0;41409;1007;988;
0;40484;984;979;
0;41356;995;977;
0;42646;985;996;
0;41035;1010;961;
0;41529;990;1009;
0;41309;1020;980;
0;40291;989;1002;
0;41681;1003;968;
0;40747;992;966;
0;41276;992;996;
0;42205;1016;979;
0;39765;999;970;
0;39741;1011;984;
0;41186;995;974;
0;41726;1009;965;
0;41900;998;1010;
0;40768;991;976;
0;41439;1004;1003;
0;40249;976;979;
0;41583;1008;956;
0;41526;1006;969;
0;40993;1021;971;
0;40212;1008;971;
