No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
1;66594;1650;1589;
1;66998;1652;1597;
1;65983;1600;1560;
1;67026;1612;1586;
1;66490;1615;1594;
1;66331;1642;1553;
1;68941;1624;1575;
1;66167;1667;1554;
1;66662;1643;1720;
1;67693;1636;1591;
1;67384;1648;1562;
1;68838;1581;1734;
1;66611;1594;1591;
1;66928;1617;1608;
1;67676;1607;1618;
1;66558;1632;1569;
1;67473;1616;1592;
1;65837;1629;1591;
1;66656;1615;1580;
1;66249;1604;1616;
1;66649;1605;1577;
1;66699;1629;1578;
1;68010;1655;1721;
1;67056;1600;1555;
1;66226;1599;1621;
1;66627;1633;1575;
1;67588;1634;1598;
1;66945;1654;1590;
1;67716;1613;1570;
1;66926;1646;1604;
1;66366;1602;1586;
1;65063;1642;1581;
1;65758;1617;1592;
1;66828;1620;1899;
1;65595;1680;1578;
1;66788;1622;1570;
1;68133;1642;1549;
1;66577;1593;1576;
1;66884;1609;1575;
1;66980;1645;1568;
1;67221;1613;1653;
1;67597;1594;1559;
1;67381;1631;1547;
1;67823;1608;1548;
1;66599;1646;1588;
1;66429;1598;1601;
1;67724;1640;1581;
1;66847;1642;1574;
1;67014;1781;1597;
1;66300;1620;1540;
1;66329;1616;1590;
1;66493;1607;1609;
1;67809;1676;1590;
1;66242;1631;1571;
1;66412;1597;1607;
1;66722;1639;1655;
1;65759;1640;1589;
1;67054;1587;1581;
1;66005;1619;1571;
1;66810;1616;1548;
1;65939;1645;1587;
1;66595;1611;1580;
1;67234;1616;1600;
1;67268;1633;1631;
1;68189;1613;1568;
1;65197;1643;1571;
1;66328;1645;1564;
1;66861;1622;1589;
1;67254;1597;1676;
1;68347;1624;1624;
1;66740;1659;1615;
1;68774;1599;1644;
1;68927;1729;1554;
1;66552;1615;1602;
1;66888;1621;1574;
1;66286;1622;1578;
1;68195;1628;1601;
1;66297;1604;1896;
1;67139;1603;1594;
1;66836;1661;1609;
1;65140;1613;1582;
1;66946;1636;1562;
1;67303;1639;1580;
1;66558;1605;1578;
1;66183;1616;1634;
1;66223;1613;1616;
1;66506;1622;1558;
1;66323;1621;1579;
1;66658;1623;1606;
1;67453;1629;1625;
1;66913;1655;1586;
1;66202;1655;1578;
1;68124;1657;1601;
1;66178;1635;1612;
1;66661;1663;1634;
1;67260;1609;1611;
1;68197;1689;1637;
1;66960;1682;1544;
1;67003;1636;1628;
1;66748;1676;1604;
