No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;871;22;24;
0;736;22;25;
0;622;22;24;
0;857;22;24;
0;613;22;23;
0;879;22;23;
0;860;22;24;
0;537;22;23;
0;536;22;24;
0;770;22;26;
0;799;23;23;
0;637;23;24;
0;771;22;25;
0;783;22;23;
0;616;22;24;
0;618;22;23;
0;846;22;23;
0;790;22;24;
0;867;22;24;
0;870;22;24;
0;882;22;24;
0;859;23;24;
0;610;22;24;
0;604;23;24;
0;838;22;23;
0;621;23;24;
0;609;23;24;
0;613;24;23;
0;857;23;21;
0;607;23;24;
0;861;23;24;
0;669;23;24;
0;607;23;24;
0;542;22;24;
0;861;23;24;
0;867;22;24;
0;857;22;24;
0;851;22;24;
0;887;23;24;
0;619;23;24;
0;894;22;24;
0;878;24;25;
0;606;22;23;
0;868;23;24;
0;616;23;24;
0;614;22;24;
0;613;23;24;
0;530;23;24;
0;835;23;24;
0;635;22;23;
0;612;23;24;
0;640;23;23;
0;608;22;24;
0;611;22;23;
0;607;22;23;
0;626;22;25;
0;863;22;23;
0;892;22;23;
0;611;22;24;
0;605;23;24;
0;611;22;23;
0;535;23;24;
0;676;22;24;
0;623;23;21;
0;608;23;24;
0;607;23;24;
0;620;22;24;
0;621;23;23;
0;905;22;24;
0;622;22;22;
0;643;23;24;
0;850;23;23;
0;858;23;24;
0;610;22;24;
0;891;23;24;
0;524;22;24;
0;609;22;25;
0;882;22;23;
0;619;23;24;
0;875;23;24;
0;613;22;24;
0;868;22;23;
0;607;23;25;
0;531;23;24;
0;858;22;24;
0;540;23;24;
0;616;23;24;
0;699;22;24;
0;617;23;24;
0;630;22;22;
0;630;22;24;
0;860;22;24;
0;864;22;24;
0;609;22;23;
0;852;23;24;
0;876;23;24;
0;629;22;24;
0;739;22;23;
0;865;21;24;
0;873;23;24;
