No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;535;14;14;
0;378;14;14;
0;534;14;15;
0;386;14;15;
0;542;15;15;
0;519;14;14;
0;387;13;14;
0;379;13;15;
0;551;14;14;
0;329;14;14;
0;538;15;14;
0;377;15;14;
0;379;14;14;
0;376;14;15;
0;374;14;15;
0;375;14;14;
0;379;14;14;
0;333;14;15;
0;377;14;14;
0;490;14;16;
0;372;14;14;
0;451;14;15;
0;383;16;15;
0;426;14;14;
0;375;13;14;
0;466;15;15;
0;380;15;15;
0;378;14;14;
0;377;15;14;
0;326;14;14;
0;382;14;14;
0;530;14;15;
0;528;14;14;
0;383;15;15;
0;379;15;14;
0;542;13;14;
0;372;14;15;
0;379;14;15;
0;379;14;15;
0;372;14;15;
0;430;14;14;
0;530;14;15;
0;534;14;15;
0;388;14;15;
0;329;15;14;
0;377;14;14;
0;409;14;14;
0;382;15;14;
0;381;15;14;
0;374;13;14;
0;330;14;15;
0;326;15;14;
0;331;14;15;
0;376;14;15;
0;338;14;14;
0;506;14;16;
0;378;14;15;
0;378;14;15;
0;375;14;15;
0;541;14;15;
0;530;14;15;
0;387;15;14;
0;323;14;15;
0;338;14;15;
0;377;14;14;
0;379;14;15;
0;390;14;15;
0;387;14;16;
0;376;14;14;
0;382;14;14;
0;542;17;15;
0;538;13;15;
0;377;14;15;
0;381;14;14;
0;328;13;15;
0;373;14;14;
0;373;14;14;
0;374;14;14;
0;384;13;15;
0;382;14;14;
0;382;22;15;
0;378;14;15;
0;387;15;14;
0;328;14;14;
0;389;15;15;
0;520;14;14;
0;384;14;16;
0;395;15;15;
0;330;13;15;
0;390;14;14;
0;460;14;14;
0;380;14;15;
0;383;14;14;
0;530;14;15;
0;378;14;14;
0;495;14;15;
0;379;13;14;
0;334;15;15;
0;536;15;15;
0;325;14;15;
