No Agent;Native Agent;Java Low-level Agent;Java High-level Agent;
0;15796;379;374;
0;15523;388;366;
0;15786;393;364;
0;15676;381;375;
0;15445;406;376;
0;15823;384;366;
0;15875;383;371;
0;14820;380;377;
0;15711;388;366;
0;15628;383;370;
0;15036;387;377;
0;15947;390;380;
0;15570;379;385;
0;15718;386;372;
0;15632;383;385;
0;15630;385;367;
0;16361;381;365;
0;15496;385;382;
0;15662;381;376;
0;15803;387;375;
0;15592;381;372;
0;16438;380;381;
0;15544;391;364;
0;14960;379;384;
0;14759;376;376;
0;15610;380;372;
0;15187;380;375;
0;15490;390;376;
0;15791;392;372;
0;15753;382;368;
0;15723;382;370;
0;15510;380;370;
0;15590;380;370;
0;15640;391;370;
0;14961;382;373;
0;15875;373;371;
0;15844;378;372;
0;16118;380;379;
0;13723;379;375;
0;16257;387;371;
0;15520;415;385;
0;15540;379;368;
0;15458;392;372;
0;15948;380;374;
0;15503;384;361;
0;15586;385;373;
0;15872;383;376;
0;15970;385;377;
0;15869;388;382;
0;15759;391;379;
0;16506;381;368;
0;15656;388;387;
0;15634;381;364;
0;15244;393;385;
0;15858;389;376;
0;15738;392;367;
0;15699;388;374;
0;15897;374;367;
0;15585;383;379;
0;15875;383;372;
0;15000;379;377;
0;15707;379;374;
0;15574;382;368;
0;15487;388;366;
0;16116;382;388;
0;15715;374;374;
0;15491;383;383;
0;15973;381;367;
0;16077;377;371;
0;15587;386;373;
0;15831;385;390;
0;15767;400;369;
0;14305;380;379;
0;15698;386;373;
0;15281;386;367;
0;15638;375;380;
0;15692;387;374;
0;14890;386;383;
0;15837;385;390;
0;15654;387;393;
0;15637;378;381;
0;15689;380;381;
0;15592;384;374;
0;15653;421;364;
0;15671;382;393;
0;15129;381;371;
0;15367;389;370;
0;15640;385;381;
0;15471;385;374;
0;15517;380;376;
0;15329;379;387;
0;15574;396;374;
0;14597;388;385;
0;15609;379;380;
0;15688;376;372;
0;15819;394;390;
0;15992;380;382;
0;15679;391;378;
0;15657;396;367;
0;15842;388;378;
